TimeStamps,AnkleAccelerometer_x-axis (g),AnkleAccelerometer_y-axis (g),AnkleAccelerometer_z-axis (g),SVM(n),Theta(n),AnkleAngularVelocity_x-axis (deg/s),AnkleAngularVelocity_y-axis (deg/s),AnkleAngularVelocity_z-axis (deg/s),Ankleluminosity,RightPocketAccelerometer_x-axis (g),RightPocketAccelerometer_y-axis (g),RightPocketAccelerometer_z-axis (g),RightPocketAngularVelocity_x-axis (deg/s),RightPocketAngularVelocity_y-axis (deg/s),RightPocketAngularVelocity_z-axis (deg/s),NeckLuminosity,BeltAccelerometer_x-axis (g),BeltAccelerometer_y-axis (g),BeltAccelerometer_z-axis (g),BeltAngularVelocity_x-axis (deg/s),BeltAngularVelocity_y-axis (deg/s),BeltAngularVelocity_z-axis (deg/s),Beltluminosity,NeckAccelerometer_x-axis (g),NeckAccelerometer_y-axis (g),NeckAccelerometer_z-axis (g),NeckAngularVelocity_x-axis (deg/s),NeckAngularVelocity_y-axis (deg/s),NeckAngularVelocity_z-axis (deg/s),NeckLuminosity,WristAccelerometer_x-axis (g),WristAccelerometer_y-axis (g),WristAccelerometer_z-axis (g),WristAngularVelocity_x-axis (deg/s),WristAngularVelocity_y-axis (deg/s),WristAngularVelocity_z-axis (deg/s),WristLuminosity,BrainSensor,Infrared1,Infrared2,Infrared3,Infrared1(n),Infrared4,Infrared5,Infrared6,Infrared2(n),Subject,Activity
2018-07-04T12:04:17.738369,-1.005,0.229,-0.083,1.034096224,12.79417816,-0.671,0.488,-2.683,0,-0.981,0.26,0.098,1.768,-1.89,0.732,0,0.146,0.895,0.367,-1.463,-3.841,-2.622,392.633,-0.672,0.072,-0.815,-3.293,-7.805,9.207,1231.336,-1.24,-0.557,0.227,-75.854,44.024,315.915,2108.154,45,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738370,-1.005,0.228,-0.082,1.033795434,12.74113559,-3.415,-0.549,0.122,0,-0.981,0.26,0.098,3.354,-2.5,-0.061,0,0.146,0.895,0.367,1.037,-4.024,-1.768,392.633,-0.672,0.072,-0.815,-9.756,-8.049,5.122,1231.336,-1.24,-0.557,0.227,-28.78,55.549,344.146,2108.154,1,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738371,-1.005,0.231,-0.079,1.034227731,12.90616878,-2.622,-1.402,-0.549,0,-0.975,0.282,0.091,3.72,-2.5,-0.793,0,0.178,0.896,0.373,0.366,-2.5,-0.488,392.633,-0.705,0.084,-0.779,-17.866,-18.354,4.329,1231.336,-1.884,-0.687,0.251,27.256,87.134,372.012,2108.154,325,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738372,-1.005,0.231,-0.079,1.034227731,12.90616878,-2.561,-2.195,-1.22,0,-0.973,0.301,0.103,-1.951,-1.159,-1.28,0,0.16,0.895,0.372,0.854,1.951,1.585,392.633,-0.727,0.095,-0.758,-18.537,-10.061,0.366,1231.336,-1.884,-0.687,0.251,2.866,117.683,356.463,2108.154,396,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738373,-1.008,0.229,-0.072,1.036189654,12.76789287,-3.537,-2.073,-0.305,0,-0.973,0.301,0.103,-5.366,-1.28,-0.732,0,0.16,0.895,0.372,2.012,4.634,3.354,392.633,-0.727,0.095,-0.758,4.878,2.866,-3.232,1231.336,-1.597,-0.646,0.112,10,30.671,126.768,2108.154,-436,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738374,-1.005,0.223,-0.066,1.031557075,12.48465025,-10.488,-2.195,0.61,0,-0.983,0.266,0.117,-5,0.183,-1.89,0,0.082,0.902,0.359,6.341,0.854,2.988,392.633,-0.707,0.042,-0.778,11.463,-12.622,6.585,1231.336,-1.096,-0.204,0.179,21.524,40.427,26.89,2108.154,-290,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738375,-1.005,0.223,-0.066,1.031557075,12.48465025,-8.841,-2.561,0.793,0,-0.999,0.2,0.119,-2.683,2.5,-2.927,0,0.063,0.913,0.366,4.817,-3.963,0.427,392.633,-0.637,0.132,-0.809,-4.939,0.488,1.768,1231.336,-0.86,-0.527,0.235,-103.537,3.293,-39.939,2108.154,80,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738376,-1.008,0.22,-0.062,1.033589861,12.28944461,1.768,-0.732,8.72,0,-0.999,0.2,0.119,2.866,2.134,-3.171,0,0.063,0.913,0.366,3.171,-7.5,-1.524,392.633,-0.637,0.132,-0.809,-1.951,21.159,-2.439,1231.336,-0.86,-0.527,0.235,-127.866,-0.366,-21.28,2108.154,160,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738377,-1,0.259,-0.063,1.034915455,14.49301586,3.963,-0.732,6.829,0,-0.993,0.227,0.096,7.866,-0.122,-3.598,0,0.137,0.906,0.362,1.646,-10.427,-3.598,392.633,-0.667,0.074,-0.846,1.037,11.22,-1.463,1231.336,-0.827,-0.458,0.128,-92.317,2.561,-5.366,2108.154,116,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738378,-1,0.259,-0.063,1.034915455,14.49301586,4.451,0.183,2.622,0,-0.988,0.282,0.098,13.11,-1.646,-6.037,0,0.137,0.906,0.362,2.744,-12.5,-4.146,392.633,-0.69,0.041,-0.801,1.951,0.793,-0.427,1231.336,-0.827,-0.458,0.128,-30.976,6.707,-10,2108.154,116,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738379,-1.002,0.263,-0.064,1.0379157,14.67835101,-3.171,1.037,-0.122,0,-0.988,0.282,0.098,12.805,-5.122,-3.476,0,0.189,0.907,0.358,4.756,-10.122,-3.293,392.633,-0.69,0.041,-0.801,-1.098,4.817,-3.354,1231.336,-1.089,-0.367,0.094,11.463,8.232,-30.183,2108.154,153,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738380,-1.007,0.24,-0.064,1.037181276,13.37929683,-4.573,1.768,-2.317,0,-0.969,0.321,0.106,-0.488,-4.268,1.646,0,0.158,0.896,0.382,2.134,-1.159,-1.463,392.633,-0.68,0.076,-0.809,-5.183,-4.817,-1.28,1231.336,-1.238,-0.287,0.144,22.134,5.915,-86.707,2108.154,92,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738381,-1.007,0.24,-0.064,1.037181276,13.37929683,-7.866,-0.305,-1.402,0,-0.973,0.348,0.026,-3.049,-4.146,2.073,0,0.158,0.896,0.382,3.537,1.89,-0.488,392.633,-0.686,0.076,-0.803,5.183,3.841,-1.402,1231.336,-1.238,-0.287,0.144,25.488,9.817,-114.817,2108.154,100,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738382,-1.004,0.235,-0.059,1.032822347,13.15180604,-3.659,-0.061,-3.171,0,-0.973,0.348,0.026,-1.098,19.207,3.415,0,0.117,0.911,0.372,2.622,3.232,-0.183,392.633,-0.686,0.076,-0.803,-3.415,6.829,-1.159,1231.336,-1.178,-0.215,0.086,73.171,-2.805,-119.878,2108.154,35,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738383,-1.004,0.235,-0.059,1.032822347,13.15180604,0.549,0.793,-3.354,0,-0.987,0.185,0.209,-64.573,38.963,12.134,0,0.122,0.903,0.358,-4.268,0,2.317,392.633,-0.686,0.091,-0.804,-2.073,-0.61,0.183,1231.336,-1.003,-0.017,0.084,101.22,-19.817,-88.598,2108.154,40,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738384,-1.006,0.236,-0.061,1.035110139,13.17906133,3.963,0.671,-2.988,0,-0.983,0.279,0.063,13.537,-3.659,-1.951,0,0.122,0.903,0.358,6.646,0.732,2.073,392.633,-0.69,0.056,-0.793,0.915,6.707,-3.537,1231.336,-1.003,-0.017,0.084,20.671,-14.573,-81.098,2108.154,92,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738385,-1.004,0.229,-0.063,1.031710231,12.82427032,2.378,0.61,-2.317,0,-0.983,0.279,0.063,-8.354,2.195,-0.549,0,0.134,0.915,0.363,0.183,0,0.671,392.633,-0.69,0.056,-0.793,-1.524,5.671,-1.951,1231.336,-0.876,-0.185,0.06,-55.488,-8.11,-70.427,2108.154,57,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738386,-1.004,0.229,-0.063,1.031710231,12.82427032,2.866,0.732,-2.439,0,-0.982,0.265,0.1,-0.976,-0.183,-0.915,0,0.129,0.906,0.342,0.305,0.732,2.622,392.633,-0.679,0.061,-0.795,0.732,-3.72,-1.951,1231.336,-0.876,-0.185,0.06,-69.39,-5.671,-34.878,2108.154,20,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738387,-1.004,0.228,-0.066,1.031676306,12.76774819,2.988,0.793,-3.049,0,-0.982,0.265,0.1,-3.659,-1.037,-1.463,0,0.129,0.906,0.342,2.805,-1.28,2.073,392.633,-0.679,0.061,-0.795,5.183,6.22,-3.049,1231.336,-0.857,-0.299,0.013,4.512,0.061,37.561,2108.154,92,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738388,-1.004,0.228,-0.066,1.031676306,12.76774819,0.732,1.098,-3.841,0,-0.986,0.247,0.11,-1.829,-2.012,-0.305,0,0.115,0.904,0.361,-1.159,-2.622,0.793,392.633,-0.67,0.062,-0.805,2.988,1.89,-1.28,1231.336,-0.958,-0.267,0.081,23.537,3.537,65.305,2108.154,84,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738389,-1.008,0.219,-0.065,1.033561803,12.23305411,1.585,1.22,-1.768,0,-0.981,0.266,0.106,0.366,-2.683,0.305,0,0.115,0.904,0.361,-0.549,-2.012,-0.976,392.633,-0.67,0.062,-0.805,1.098,0.244,-1.098,1231.336,-0.958,-0.267,0.081,17.5,9.512,85.549,2108.154,144,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738390,-1.009,0.223,-0.067,1.035518711,12.43612109,2.256,1.28,-1.402,0,-0.981,0.266,0.106,4.207,-1.768,0.549,0,0.141,0.898,0.353,-0.305,-2.073,-1.28,392.633,-0.678,0.069,-0.808,-2.439,2.988,-0.305,1231.336,-1.093,-0.312,0.119,8.171,14.573,96.463,2108.154,118,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738391,-1.009,0.223,-0.067,1.035518711,12.43612109,2.195,1.341,-1.463,0,-0.985,0.265,0.105,1.341,-1.402,-0.793,0,0.141,0.898,0.353,0.915,-2.805,-0.305,392.633,-0.678,0.065,-0.812,-1.951,5.793,-0.122,1231.336,-1.093,-0.312,0.119,8.476,14.634,96.646,2108.154,85,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738392,-1.007,0.22,-0.069,1.033058566,12.29586381,1.585,1.463,-1.707,0,-0.985,0.265,0.105,-0.305,-1.402,-1.707,0,0.147,0.911,0.348,2.622,-0.854,0.244,392.633,-0.678,0.065,-0.812,-1.037,6.341,0.915,1231.336,-1.111,-0.34,0.113,17.744,12.561,87.439,2108.154,123,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738393,-1.007,0.22,-0.069,1.033058566,12.29586381,0.488,1.402,-1.646,0,-0.985,0.265,0.103,-0.854,-0.915,-0.427,0,0.137,0.908,0.35,1.159,-0.427,0.305,392.633,-0.662,0.068,-0.821,-0.793,2.683,1.22,1231.336,-1.041,-0.321,0.115,16.037,2.439,48.598,2108.154,-23,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738394,-1.009,0.216,-0.071,1.03430073,12.05419137,-0.122,0.915,0.61,0,-0.981,0.258,0.103,-0.976,-0.61,-0.488,0,0.135,0.905,0.348,0.793,-1.28,-0.244,392.633,-0.657,0.069,-0.834,3.78,-4.146,1.951,1231.336,-1.004,-0.324,0.095,-9.329,-4.024,7.744,2108.154,27,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738395,-1.009,0.216,-0.071,1.03430073,12.05419137,0.305,0.549,1.037,0,-0.988,0.251,0.097,-0.427,0.366,-1.585,0,0.139,0.916,0.337,1.951,-2.073,-0.244,392.633,-0.652,0.066,-0.836,4.39,0.61,2.073,1231.336,-0.991,-0.314,0.068,-15.061,-5.183,-21.098,2108.154,-177,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738396,-1.01,0.22,-0.07,1.036050192,12.25980632,0.549,0.061,0.671,0,-0.991,0.249,0.096,0.732,-0.915,-1.341,0,0.139,0.916,0.337,0.671,-2.805,-0.427,392.633,-0.657,0.064,-0.822,4.085,-1.524,1.707,1231.336,-0.991,-0.314,0.068,-10.915,-3.963,-30.488,2108.154,-243,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738397,-1.008,0.218,-0.069,1.033609694,12.17576411,0,-0.061,0.549,0,-0.991,0.249,0.096,1.89,-1.28,-0.427,0,0.144,0.914,0.344,-0.488,-2.805,-1.037,392.633,-0.657,0.064,-0.822,2.561,-0.915,2.317,1231.336,-1.01,-0.292,0.072,-4.207,-2.805,-38.049,2108.154,26,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738398,-1.008,0.218,-0.069,1.033609694,12.17576411,-0.061,-0.122,0.427,0,-0.986,0.258,0.097,2.195,-2.256,0.61,0,0.146,0.903,0.347,-1.524,-3.11,-1.524,392.633,-0.667,0.065,-0.815,3.659,-1.524,2.073,1231.336,-1.01,-0.292,0.072,2.317,-0.793,-44.939,2108.154,164,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738399,-1.007,0.219,-0.069,1.032846068,12.24166263,-0.305,-0.366,0.793,0,-0.986,0.258,0.097,2.195,-2.561,0.488,0,0.146,0.903,0.347,-0.549,-2.378,-1.159,392.633,-0.667,0.065,-0.815,2.134,-2.5,2.866,1231.336,-1.026,-0.264,0.086,7.805,1.829,-49.573,2108.154,13,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738400,-1.007,0.219,-0.069,1.032846068,12.24166263,-0.61,-0.488,0.793,0,-0.981,0.27,0.102,1.89,-2.805,0.305,0,0.141,0.901,0.354,-0.549,-1.585,-0.793,392.633,-0.672,0.062,-0.809,3.049,-1.341,2.012,1231.336,-1.026,-0.264,0.086,12.622,1.89,-51.463,2108.154,13,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738401,-1.006,0.22,-0.066,1.031887591,12.31003563,-0.976,-0.61,0.549,0,-0.978,0.274,0.11,0,-1.89,-0.122,0,0.141,0.901,0.354,-0.183,-1.159,-0.671,392.633,-0.672,0.062,-0.809,3.11,-1.037,1.037,1231.336,-1.005,-0.231,0.093,12.683,0.854,-42.256,2108.154,37,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738402,-1.006,0.22,-0.066,1.031887591,12.31003563,-1.098,-0.549,0.61,0,-0.978,0.274,0.11,-0.488,-1.768,-0.183,0,0.128,0.902,0.361,0.976,-0.305,-0.305,392.633,-0.681,0.062,-0.803,2.256,0.244,0.122,1231.336,-0.97,-0.223,0.097,7.927,1.098,-32.134,2108.154,124,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738403,-1.009,0.225,-0.064,1.035761556,12.54647546,-1.707,0.183,-1.524,0,-0.98,0.278,0.12,-0.976,-1.768,-0.61,0,0.128,0.902,0.361,0.976,0.732,-0.427,392.633,-0.687,0.061,-0.801,0.915,2.439,0.427,1231.336,-0.97,-0.223,0.097,3.11,1.951,-19.39,2108.154,247,1,1,1,1.732,1,1,1,1.732,1,1
2018-07-04T12:04:17.738404,-1.01,0.237,-0.061,1.039225673,13.18255387,-9.329,0.915,-3.659,0,-0.98,0.278,0.12,-0.366,-1.524,-0.793,0,0.122,0.908,0.371,-0.183,1.28,-0.061,392.633,-0.687,0.061,-0.801,0.793,0.732,0.122,1231.336,-0.958,-0.24,0.096,0.61,1.829,-5.427,2108.154,742,1,1,1,1.732,1,1,1,1.732,1,1
